ID_Venta,Fecha,Cliente,Producto,Categoría,Cantidad,Precio_Unitario,Total_Venta,Canal
1,2025-04-13,C0316,Tenis Running,Calzado,1,200000,200000,Marketplace
2,2025-06-29,C0166,Camiseta Blanca,Ropa Hombre,2,40000,80000,Marketplace
3,2025-04-03,C0652,Zapatos Casual,Calzado,3,150000,450000,Web
4,2025-01-15,C0203,Bolso de Cuero,Accesorios,2,175000,350000,RedesSociales
5,2025-04-17,C0496,Zapatos Casual,Calzado,3,150000,450000,Web
6,2025-03-13,C0756,Chaqueta Jeans,Ropa Unisex,3,220000,660000,Marketplace
7,2025-01-21,C0625,Sudadera Deportiva,Ropa Unisex,1,95000,95000,Marketplace
8,2025-04-13,C0468,Vestido Rojo,Ropa Mujer,4,180000,720000,RedesSociales
9,2025-05-02,C0713,Zapatos Casual,Calzado,5,150000,750000,RedesSociales
10,2025-03-16,C0385,Camiseta Negra,Ropa Hombre,4,45000,180000,RedesSociales
11,2025-03-29,C0314,Vestido Rojo,Ropa Mujer,3,180000,540000,Marketplace
12,2025-04-27,C0771,Jeans Azul,Ropa Mujer,4,120000,480000,Marketplace
13,2025-04-10,C0255,Vestido Rojo,Ropa Mujer,3,180000,540000,Web
14,2025-04-14,C0959,Camiseta Negra,Ropa Hombre,2,45000,90000,Web
15,2025-06-01,C0917,Camiseta Blanca,Ropa Hombre,2,40000,80000,RedesSociales
16,2025-05-11,C0023,Bolso de Cuero,Accesorios,1,175000,175000,Web
17,2025-05-30,C0905,Zapatos Casual,Calzado,5,150000,750000,Web
18,2025-02-22,C0758,Sudadera Deportiva,Ropa Unisex,2,95000,190000,Web
19,2025-01-02,C0339,Camiseta Blanca,Ropa Hombre,5,40000,200000,Web
20,2025-03-29,C0493,Camiseta Negra,Ropa Hombre,1,45000,45000,Web
21,2025-06-07,C0823,Camiseta Blanca,Ropa Hombre,5,40000,200000,Web
22,2025-02-07,C0511,Zapatos Casual,Calzado,2,150000,300000,Web
23,2025-05-10,C0366,Camiseta Blanca,Ropa Hombre,2,40000,80000,Web
24,2025-01-21,C0372,Jeans Azul,Ropa Mujer,4,120000,480000,Web
25,2025-06-10,C0915,Tenis Running,Calzado,4,200000,800000,RedesSociales
26,2025-02-27,C0830,Zapatos Casual,Calzado,4,150000,600000,Marketplace
27,2025-01-22,C0599,Bolso de Cuero,Accesorios,5,175000,875000,Marketplace
28,2025-03-30,C0219,Vestido Rojo,Ropa Mujer,2,180000,360000,Marketplace
29,2025-02-18,C0475,Zapatos Casual,Calzado,1,150000,150000,Web
30,2025-02-28,C0423,Camiseta Negra,Ropa Hombre,3,45000,135000,RedesSociales
31,2025-06-19,C0356,Camiseta Blanca,Ropa Hombre,2,40000,80000,RedesSociales
32,2025-01-15,C0460,Zapatos Casual,Calzado,4,150000,600000,Web
33,2025-06-24,C0503,Camiseta Blanca,Ropa Hombre,4,40000,160000,Web
34,2025-02-20,C0027,Sudadera Deportiva,Ropa Unisex,5,95000,475000,Marketplace
35,2025-04-18,C0942,Gorra Negra,Accesorios,4,35000,140000,Web
36,2025-02-24,C0802,Bolso de Cuero,Accesorios,5,175000,875000,RedesSociales
37,2025-03-05,C0801,Chaqueta Jeans,Ropa Unisex,1,220000,220000,Marketplace
38,2025-05-11,C0860,Gorra Negra,Accesorios,4,35000,140000,Web
39,2025-02-20,C0223,Zapatos Casual,Calzado,5,150000,750000,Web
40,2025-05-15,C0864,Camiseta Negra,Ropa Hombre,4,45000,180000,Marketplace
41,2025-01-21,C0690,Tenis Running,Calzado,5,200000,1000000,Web
42,2025-03-14,C0148,Bolso de Cuero,Accesorios,2,175000,350000,RedesSociales
43,2025-06-16,C0424,Chaqueta Jeans,Ropa Unisex,5,220000,1100000,Web
44,2025-01-18,C0739,Sudadera Deportiva,Ropa Unisex,3,95000,285000,RedesSociales
45,2025-05-12,C0351,Tenis Running,Calzado,1,200000,200000,Web
46,2025-03-30,C0186,Vestido Rojo,Ropa Mujer,2,180000,360000,Marketplace
47,2025-03-01,C0415,Camiseta Blanca,Ropa Hombre,1,40000,40000,Web
48,2025-01-14,C0806,Gorra Negra,Accesorios,2,35000,70000,Web
49,2025-01-09,C0982,Tenis Running,Calzado,4,200000,800000,Marketplace
50,2025-03-31,C0429,Camiseta Blanca,Ropa Hombre,5,40000,200000,Web
